 user_id	college_name	rating
1	Matoshri College of Engineering and Research Centre, Eklahare, Nashik	4
1	Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai	3.6
1	Government College of Engineering,  Aurangabad	3.7
1	ST. Vincent Pallotti College of Engineering & Technology, Nagpur	4.8
1	Laxminarayan Institute of Technology, Nagpur	3.5
1	Institute of Chemical Technology, Matunga, Mumbai	4.5
1	R. C. Patel Institute of Technology, Shirpur	4
1	Bajaj Institute of Technology, Wardha	4.8
1	St. Francis Institute of Technology,Borivali, Mumbai	3.7
1	Indira College of Engineering & Management, Pune	4.8
2	JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha	4
2	Bhagwant Institute of Technology, Barshi	2.9
2	Bajaj Institute of Technology, Wardha	4.4
2	Thakur College of Engineering and Technology, Kandivali, Mumbai	4.2
2	Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna	2.7
2	Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune	4.4
2	Dr.Rajendra Gode Institute of Technology & Research, Amravati	4.5
2	Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune	3.8
2	Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur	4.8
2	Bharati Vidyapeeth's College of Engineering, Kolhapur	4.8
3	Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule	4.5
3	NBN Sinhgad Technical Institutes Campus, Pune	3.4
3	Government College of Engineering, Karad	5
3	Progressive Education Society's Modern College of Engineering, Pune	3.4
3	Bharati Vidyapeeth's College of Engineering, Kolhapur	3.1
3	Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon	2.5
3	Thakur College of Engineering and Technology, Kandivali, Mumbai	4.3
3	Anantrao Pawar College of Engineering & Research, Pune	3.9
3	G. S. Mandal's Maharashtra Institute of Technology, Aurangabad	2.8
3	ST. Vincent Pallotti College of Engineering & Technology, Nagpur	4.5
4	Government College of Engineering, Jalgaon	2.7
4	Bhagwant Institute of Technology, Barshi	3.6
4	Jawaharlal Darda Institute of Engineering and Technology, Yavatmal	4.9
4	G.H.Raisoni College of Engineering & Management, Wagholi, Pune	3.2
4	Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur	4.1
4	Smt. Indira Gandhi College of Engineering, Navi Mumbai	5
4	ST. Vincent Pallotti College of Engineering & Technology, Nagpur	4.1
4	Government College of Engineering, Amravati	2.8
4	Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala	4
4	MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune	4.1
5	Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai	4.3
5	Government College of Engineering, Jalgaon	3.5
5	JSPM'S Jaywantrao Sawant College of Engineering,Pune	3.8
5	G H Raisoni Institute of Engineering and Business Management, Jalgaon	4.9
5	Sinhagad Institute of Technology, Lonavala	4.4
5	Vivekanand Education Society's Institute of Technology, Chembur, Mumbai	4.2
5	Dr. Babasaheb Ambedkar Technological University, Lonere	3.7
5	Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur	4.1
5	ST. Vincent Pallotti College of Engineering & Technology, Nagpur	3.9
5	Keystone School of Engineering, Pune	3.8
6	Government College of Engineering, Jalgaon	3.3
6	Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna	3.2
6	JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha	4.6
6	Bharati Vidyapeeth's College of Engineering,Lavale, Pune	4.6
6	Deogiri Institute of Engineering and Management Studies, Aurangabad	4.8
6	Shree Ramchandra College of Engineering, Lonikand,Pune	4.4
6	Aditya Engineering College , Beed	3.4
6	Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel	4.8
6	Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune	4.7
6	Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune	3
7	Indira College of Engineering & Management, Pune	3.2
7	Matoshri College of Engineering and Research Centre, Eklahare, Nashik	2.6
7	NBN Sinhgad Technical Institutes Campus, Pune	2.9
7	Smt. Indira Gandhi College of Engineering, Navi Mumbai	2.6
7	M.S. Bidve Engineering College, Latur	3.2
7	Shri Ramdeobaba College of Engineering and Management, Nagpur	2.6
7	Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon	4.4
7	G H Raisoni Institute of Engineering and Business Management, Jalgaon	2.8
7	G.H.Raisoni College of Engineering & Management, Wagholi, Pune	4.6
7	Bharati Vidyapeeth's College of Engineering, Kolhapur	4
8	Bharati Vidyapeeth's College of Engineering, Kolhapur	3.9
8	Bajaj Institute of Technology, Wardha	3.5
8	Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune	2.6
8	Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati	4.5
8	Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur	4.8
8	Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur	5
8	Dr. Babasaheb Ambedkar Technological University, Lonere	2.7
8	Indira College of Engineering & Management, Pune	4.8
